PIT,EAN
132723702,190198457349
132723729,190198456984
132651788,190198455789
132639375,190198455420
132639391,190198455062
132639412,190198454706
132639359,190198454348
132651761,190198453983
133777833,190198452894
133777147,190198452535
133777850,190198452177
133776072,190198451392
133776056,190198451033
133776099,190198450678
129611030,190198157003
129610301,190198156648
129610328,190198156280
129610424,190198155924
132248745,190198071477
132246168,190198069672
132246205,190198069313
132248841,190198068958
132248702,190198068590
132246221,190198068231
132246184,190198067876
132250141,190198067517
132248665,190198067159
132248681,190198066794
129251759,190198058195
129252073,190198057792
129251695,190198057396
129251732,190198056993
129610504,190198045003
129610483,190198044648
129610281,190198044280
129610408,190198043924
129610205,190198043566
132426724,34264491199
132426724,34264491182
132683704,34264491175
131553641,34264490604
131553641,34264490598
131016432,34264489899
131016432,34264489882
132683704,34264487093
132683704,34264487055
129071619,34264478299
129071619,34264478282
124368288,34264477520
124368288,34264477520
124368288,34264477513
124368288,34264477513
112176908,34264456082
112176908,34264456082
112176908,34264456075
112176908,34264456075
9546827,9546827
10513978,
108679781,
108679781,
108770509,
108770509,
110387007,
110387007,
110387007,
110419822,
110419822,
110757661,
110757661,
110757661,
110757661,
110957276,
110957276,
111574111,
111574111,
111847811,
111847811,
111847811,
111847811,
111847811,
111847811,
111957454,
111957454,
111957454,
111957454,
111957489,
111957489,
111957489,
112176908,
112176908,
112176908,
112176908,
113106282,
113106282,
113106282,
113106282,
113106282,
113106282,
113197516,
113197516,
113197516,
113307658,
113307658,
113388865,
113388865,
113998217,
113998217,
113998217,
116080401,
116080401,
116080401,
116080401,
116107897,
116107897,
116107897,
116107897,
116107985,
116107985,
116108013,
116108013,
116703269,
116703269,
116796362,
116796362,
116796362,
117294081,
117294081,
117693171,
117693171,
117693171,
117693277,
117693277,
117966010,
117966010,
117966044,
117966044,
118075622,
118075622,
118419392,
118419392,
119195917,
119195917,
119195917,
119195917,
119195917,
119465323,
119465323,
119465323,
119465323,
119465323,
119465358,
119465358,
119465358,
119465358,
119465358,
119757799,
119757799,
119757799,
119757799,
119757799,
119792551,
119792551,
119852892,
119852892,
119934610,
119934610,
119934610,
119934610,
119934644,
119934644,
119934644,
119934644,
120211865,
120211865,
120277039,
120277055,
120296061,
120296061,
120296061,
120296061,
120416908,
120416908,
120416908,
120647280,
120647280,
120647280,
120647280,
120993300,
120993300,
120993300,
120993300,
121385971,
121882564,
122059414,
122059414,
122059414,
122071667,
122071667,
122156249,
122156249,
122156345,
122156345,
122156345,
122156345,
122619602,
122701411,
122807654,
122807654,
122807654,
122807654,
122807654,
122807654,
122807654,
122807654,
123021098,
123021119,
123068591,
123068611,
123179178,
123179178,
124292375,
124292375,
124292375,
124368288,
124368288,
124579499,
124579499,
124651374,
124651391,
124651454,
124651471,
124738331,
124777428,
124777428,
124777428,
124777428,
124777452,
124777452,
124777487,
124777487,
124802216,
124802216,
124802216,
124993850,
124996532,
124996532,
125053341,
125053341,
125053341,
125053341,
125053341,
125053341,
125053341,
125053376,
125053376,
125053376,
125053376,
125053376,
125053376,
125053405,
125053405,
125053405,
125053405,
125053405,
125053405,
12512661,
12512661,
12512661,
12512661,
125215742,
125215742,
125215742,
125628846,
125768056,
125768072,
125768072,
125916485,
126000065,
126000065,
126102926,
126102926,
126102926,
126102985,
126102985,
126109386,
126109386,
126109440,
126109440,
126430647,
126430647,
126430671,
126430671,
126831715,
126831715,
126831715,
126831715,
126831715,
126855864,
126855864,
127184636,
127184636,
127543416,
127543416,
127878831,
127878831,
129028784,
129071619,
129251695,
129251732,
129251759,
129252073,
129304574,
129304574,
129542708,
129542708,
129543971,
129543971,
129543971,
129543971,
129543971,
129610205,
129610281,
129610301,
129610328,
129610408,
129610424,
129610483,
129610504,
129611030,
129696547,
129696547,
130027877,
130843436,
130849441,
130849441,
131016432,
131016432,
131045399,
131045399,
131157788,
131349667,
131553641,
131553641,
131657512,
131657539,
131659649,
131665660,
131765724,
131765847,
131777741,
131782866,
131813722,
13184392,
13184392,
13184392,
13184392,
131916684,
132116849,
132116849,
132118351,
132118377,
132118393,
132118431,
132118457,
132124646,
132126342,
132128743,
132128903,
132140662,
132177650,
132207708,
132220822,
132229131,
132229131,
132245780,
132246168,
132246184,
132246184,
132246205,
132246221,
132248665,
132248665,
132248681,
132248681,
132248702,
132248841,
132250141,
132250141,
132313551,
132324701,
132324701,
132326651,
132380164,
132380261,
132384801,
132426724,
132444050,
132474101,
132474101,
132474128,
132474267,
132475702,
132475745,
132480721,
132490726,
132501149,
132522847,
132524261,
132524674,
132530716,
132530732,
132531701,
132532244,
132532746,
132532922,
132533028,
132610169,
132620869,
132620906,
132620922,
132639359,
132639412,
132639412,
132651761,
132651761,
132651788,
132683704,
132683704,
132717302,
132722700,
132722726,
132723702,
132723729,
132728706,
132733871,
132762592,
132897606,
133041746,
133055259,
133055275,
133055291,
133055312,
133077722,
133187753,
133187753,
133235006,
133240729,
133257344,
133269812,
133273686,
133274769,
133274881,
133274929,
133284449,
133284705,
133284748,
133331727,
133331760,
133332720,
133403743,
133452705,
133453126,
133453169,
133453185,
133453249,
133453724,
133459747,
133518305,
133541468,
133554701,
133567705,
133605724,
133609143,
133609160,
133609194,
133609215,
133610769,
133612713,
133612810,
133620828,
133621708,
133621821,
133666164,
133666181,
133666201,
133666703,
133682527,
133720706,
133730980,
133731000,
133731026,
133731069,
133731085,
133731106,
133731149,
133731165,
133741110,
133741339,
133741849,
133756910,
133774000,
133775918,
133787388,
133788831,
133791184,
133791942,
133797404,
133797421,
133818666,
133818682,
134060172,
134060199,
134061706,
13499192,
13499192,
13499192,
13499192,
14144866,
14144866,
14144866,
14997895,
14997895,
14997895,
14997895,
14997895,
15149150,
15149150,
15149150,
15149150,
15149150,
16149757,
16149757,
16149757,
16158540,
16158540,
16158540,
17373884,
17373884,
17373884,
17538421,
17708768,
17708776,
17708776,
17712192,
17712192,
18250962,
18593168,
18602423,
18602423,
18602423,
18804976,
18804976,
18804976,
19014653,
19014653,
19018957,
19018957,
19294589,
19294589,
19748199,
19748199,
19844887,
19844887,
20055812,
20055812,
20813339,
21731876,
21731876,
21731876,
21731876,
21768314,
21768314,
21774435,
21774631,
21871129,
21934527,
22048441,
22143488,
22143488,
22475926,
22475926,
22798318,
22801547,
23120979,
23120979,
23496670,
23546329,
23546329,
23546527,
23546527,
23587869,
23801126,
23801126,
23801126,
23801126,
24209864,
24481899,
25476244,
25476244,
25890414,
26207420,
26211859,
26707805,
26767720,
27146652,
27146652,
27194174,
27201340,
27234491,
27234491,
27408317,
27408317,
27550247,
27550247,
27580792,
27580792,
27705230,
27854280,
27861227,
27861227,
28224622,
28328702,
28331007,
28498211,
28498211,
28590929,
28650774,
28652006,
28652006,
28709598,
28751449,
28769791,
28788166,
28806351,
28806351,
28806351,
28806351,
28859643,
28859643,
28919590,
28919590,
29193129,
29336980,
29389772,
29389772,
29389919,
29389919,
29563105,
29563105,
29670130,
29673710,
29691870,
29691870,
29691872,
29772300,
29772300,
29848874,
29859261,
29922993,
29922993,
30136392,
30136392,
30136392,
30162471,
30162471,
30162471,
30211631,
30211631,
30410856,
30410856,
30608297,
30727509,
30727509,
30964590,
30964590,
30964590,
30968488,
30968488,
30994044,
31390845,
31511029,
31524116,
31524116,
31846975,
31846975,
31969425,
32032546,
32124942,
32124942,
32124942,
32124942,
32382218,
32382394,
32382394,
32507727,
32507727,
32737291,
32737291,
32737291,
32737291,
32737291,
32798641,
33250647,
33352596,
33352596,
33428253,
33441966,
33441966,
33495932,
33495932,
33829296,
33834175,
33834175,
33834175,
34042755,
34400443,
34400443,
34520316,
34520316,
34621876,
34621876,
34677822,
34801324,
35102636,
35102636,
35102636,
35102636,
35135588,
35196511,
35205261,
35205261,
35205261,
35582113,
35582113,
35591554,
35643600,
35752026,
35909256,
35909256,
35959950,
35959950,
36334926,
36334926,
36342218,
36375202,
36594775,
36664476,
36664476,
36846720,
36984013,
36984013,
37390302,
37510883,
37604751,
37821240,
37850760,
38492879,
38550403,
40048486,
40048486,
40049137,
40049137,
40331382,
40350867,
40485896,
40485896,
40540937,
40764220,
40933783,
40933783,
40933783,
40933783,
41004272,
41025648,
41025648,
41034018,
41264879,
41264879,
41324921,
41353449,
41353449,
41473399,
41494664,
41630491,
41630491,
41820740,
42135829,
42135829,
42386140,
42590407,
42721952,
42732422,
43192284,
43462520,
43683960,
44008316,
44020180,
44020526,
44020552,
44351056,
44351056,
44351056,
44637398,
44637398,
44736893,
44948326,
45100985,
45100985,
45281701,
45292408,
45314725,
45314725,
45557739,
46416846,
46416846,
46416846,
46522379,
46523599,
46528691,
46528691,
46585794,
46585794,
46589677,
46613148,
46714024,
46714024,
46971461,
46971462,
46978408,
47020134,
47053834,
47422409,
47422409,
47431837,
47431837,
47431837,
47431837,
47431837,
47685804,
47844882,
47844882,
47918682,
48456798,
48469132,
48726777,
48793550,
49580171,
49822710,
5091194,
5091194,
5091194,
5091194,
5091204,
5091204,
7022551,
7022551,
7022551,
7277258,
7277258,
7425012,
7425012,
7521200,
7521200,
7521200,
7521212,
7521212,
7521212,
7521212,
7521212,
7521212,
7521216,
7521216,
7521216,
7521216,
8468922,
8468922,
8678605,
8678605,
8678894,
8678894,
9546827,
9726369,
9726369,
9726369,
